,Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
0,2008-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2008-05-22,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0
2,2008-05-23,0.0,0.0,0.0,0.0,23.69,-0.31,0.0,0.0,0.0
3,2008-05-27,0.0,0.0,0.0,0.0,23.97,0.28,0.0,0.0,0.0
4,2008-05-28,0.0,0.0,0.0,0.0,23.92,-0.05,0.0,0.0,0.0
5,2008-05-29,0.0,0.0,0.0,0.0,23.03,-0.89,0.0,0.0,0.0
6,2008-05-30,0.0,0.0,0.0,0.0,22.98,-0.05,0.0,0.0,0.0
7,2008-06-02,0.0,0.0,0.0,0.0,23.11,0.13,0.0,0.0,0.0
8,2008-06-03,0.0,0.0,0.0,0.0,23.68,0.57,0.0,0.0,0.0
9,2008-06-04,0.0,0.0,0.0,0.0,23.95,0.27,0.0,0.0,0.0
10,2008-06-05,0.0,0.0,0.0,0.0,23.39,-0.56,0.0,0.0,0.0
11,2008-06-06,0.0,0.0,0.0,0.0,24.16,0.77,0.0,0.0,0.0
12,2008-06-09,0.0,0.0,0.0,0.0,24.39,0.23,0.0,0.0,0.0
13,2008-06-10,0.0,0.0,0.0,0.0,24.22,-0.17,0.0,0.0,0.0
14,2008-06-11,0.0,0.0,0.0,0.0,24.61,0.39,0.0,0.0,0.0
15,2008-06-12,0.0,0.0,0.0,0.0,24.31,-0.3,0.0,0.0,0.0
16,2008-06-13,0.0,0.0,0.0,0.0,24.09,-0.22,0.0,0.0,0.0
17,2008-06-16,0.0,0.0,0.0,0.0,23.6,-0.49,0.0,0.0,0.0
18,2008-06-17,0.0,0.0,0.0,0.0,23.63,0.03,0.0,0.0,0.0
19,2008-06-18,0.0,0.0,0.0,0.0,23.79,0.16,0.0,0.0,0.0
20,2008-06-19,0.0,0.0,0.0,0.0,23.52,-0.27,0.0,0.0,0.0
21,2008-06-20,0.0,0.0,0.0,0.0,23.72,0.2,0.0,0.0,0.0
22,2008-06-23,0.0,0.0,0.0,0.0,23.47,-0.25,0.0,0.0,0.0
23,2008-06-24,0.0,0.0,0.0,0.0,23.59,0.12,0.0,0.0,0.0
24,2008-06-25,0.0,0.0,0.0,0.0,22.99,-0.6,0.0,0.0,0.0
25,2008-06-26,0.0,0.0,0.0,0.0,24.74,1.75,0.0,0.0,0.0
26,2008-06-27,0.0,0.0,0.0,0.0,23.97,-0.77,0.0,0.0,0.0
27,2008-06-30,0.0,0.0,0.0,0.0,23.58,-0.39,0.0,0.0,0.0
28,2008-07-01,0.0,0.0,0.0,0.0,23.6,0.02,0.0,0.0,0.0
29,2008-07-02,0.0,0.0,0.0,0.0,24.22,0.62,0.0,0.0,0.0
30,2008-07-03,0.0,0.0,0.0,0.0,23.99,-0.23,0.0,0.0,0.0
31,2008-07-07,0.0,0.0,0.0,0.0,24.11,0.12,0.0,0.0,0.0
32,2008-07-08,0.0,0.0,0.0,0.0,23.42,-0.69,0.0,0.0,0.0
33,2008-07-09,0.0,0.0,0.0,0.0,24.06,0.64,0.0,0.0,0.0
34,2008-07-10,0.0,0.0,0.0,0.0,24.14,0.08,0.0,0.0,0.0
35,2008-07-11,24.63,24.63,24.63,24.63,24.22,0.08,2.0,0.0,2.0
36,2008-07-14,0.0,0.0,0.0,0.0,24.47,0.25,0.0,0.0,2.0
37,2008-07-15,0.0,0.0,0.0,0.0,24.34,-0.13,0.0,0.0,2.0
38,2008-07-16,23.58,23.58,23.55,23.55,23.01,-1.33,25.0,0.0,27.0
39,2008-07-17,0.0,0.0,0.0,0.0,22.87,-0.14,0.0,0.0,27.0
40,2008-07-18,0.0,0.0,0.0,0.0,23.03,0.16,0.0,0.0,27.0
41,2008-07-21,0.0,0.0,0.0,0.0,22.76,-0.27,0.0,0.0,27.0
42,2008-07-22,23.02,23.02,23.02,23.02,22.4,-0.36,1.0,0.0,27.0
43,2008-07-23,0.0,0.0,0.0,0.0,22.39,-0.01,0.0,0.0,27.0
44,2008-07-24,0.0,0.0,0.0,0.0,23.28,0.89,0.0,0.0,27.0
45,2008-07-25,0.0,0.0,0.0,0.0,23.06,-0.22,0.0,0.0,27.0
46,2008-07-28,0.0,0.0,0.0,0.0,23.51,0.45,0.0,0.0,27.0
47,2008-07-29,0.0,0.0,0.0,0.0,22.98,-0.53,0.0,0.0,27.0
48,2008-07-30,22.41,22.41,22.41,22.41,22.59,-0.39,1.0,0.0,28.0
49,2008-07-31,0.0,0.0,0.0,0.0,22.75,0.16,0.0,0.0,27.0
50,2008-08-01,0.0,0.0,0.0,0.0,22.89,0.14,0.0,0.0,27.0
51,2008-08-04,0.0,0.0,0.0,0.0,22.97,0.08,0.0,0.0,27.0
52,2008-08-05,22.55,22.55,22.55,22.55,22.35,-0.62,10.0,0.0,37.0
53,2008-08-06,0.0,0.0,0.0,0.0,22.28,-0.07,0.0,0.0,27.0
54,2008-08-07,22.28,22.4,22.25,22.4,22.32,0.04,77.0,0.0,104.0
55,2008-08-08,0.0,0.0,0.0,0.0,22.18,-0.14,0.0,0.0,104.0
56,2008-08-11,22.22,22.22,22.09,22.1,22.38,0.2,23.0,0.0,124.0
57,2008-08-12,22.28,22.28,22.25,22.25,22.62,0.24,10.0,0.0,129.0
58,2008-08-13,22.65,22.7,22.65,22.7,22.9,0.28,30.0,0.0,159.0
59,2008-08-14,22.44,22.44,22.44,22.44,22.65,-0.25,42.0,0.0,201.0
60,2008-08-15,22.5,22.7,22.46,22.7,22.65,0.0,90.0,0.0,201.0
61,2008-08-18,0.0,0.0,0.0,0.0,22.88,0.23,0.0,0.0,201.0
62,2008-08-19,23.11,23.11,23.1,23.1,23.31,0.43,2.0,0.0,203.0
63,2008-08-20,23.18,23.18,23.01,23.01,23.1,-0.21,45.0,0.0,248.0
64,2008-08-21,23.17,23.2,23.17,23.2,23.17,0.07,14.0,0.0,248.0
65,2008-08-22,22.75,23.1,22.75,23.1,23.29,0.12,5.0,0.0,250.0
66,2008-08-25,0.0,0.0,0.0,0.0,23.46,0.17,0.0,0.0,250.0
67,2008-08-26,0.0,0.0,0.0,0.0,23.37,-0.09,0.0,0.0,250.0
68,2008-08-27,0.0,0.0,0.0,0.0,23.16,-0.21,0.0,0.0,250.0
69,2008-08-28,23.16,23.16,22.96,22.96,23.07,-0.09,21.0,0.0,250.0
70,2008-08-29,23.41,23.42,23.41,23.42,23.46,0.39,20.0,0.0,266.0
71,2008-09-02,23.3,23.3,23.3,23.3,23.56,0.1,3.0,0.0,268.0
72,2008-09-03,23.45,23.61,23.45,23.56,23.64,0.08,19.0,0.0,286.0
73,2008-09-04,23.81,23.81,23.75,23.75,24.27,0.63,10.0,0.0,294.0
74,2008-09-05,24.11,24.11,24.0,24.0,24.1,-0.17,9.0,0.0,294.0
75,2008-09-08,23.18,23.76,23.18,23.6,23.48,-0.62,12.0,0.0,294.0
76,2008-09-09,24.42,24.42,24.42,24.42,24.53,1.05,20.0,0.0,297.0
77,2008-09-10,24.15,24.23,24.15,24.21,24.28,-0.25,9.0,0.0,296.0
78,2008-09-11,24.35,24.35,24.35,24.35,24.39,0.11,1.0,0.0,296.0
79,2008-09-12,24.51,24.51,24.33,24.33,24.37,-0.02,29.0,0.0,303.0
80,2008-09-15,26.16,26.16,24.4,24.95,25.1,0.73,50.0,0.0,317.0
81,2008-09-16,25.0,26.53,24.38,24.52,24.73,-0.37,69.0,0.0,369.0
82,2008-09-17,25.24,25.31,25.0,25.14,25.6,0.87,63.0,0.0,289.0
83,2008-09-18,25.3,25.55,24.6,24.6,24.7,-0.9,15.0,0.0,299.0
84,2008-09-19,24.31,24.31,24.31,24.31,24.41,-0.29,3.0,0.0,299.0
85,2008-09-22,25.0,25.0,25.0,25.0,25.13,0.72,1.0,0.0,300.0
86,2008-09-23,25.41,26.1,25.41,26.0,26.0,0.87,47.0,0.0,347.0
87,2008-09-24,25.92,25.92,25.6,25.6,25.78,-0.22,3.0,0.0,337.0
88,2008-09-25,25.56,25.56,25.19,25.39,25.54,-0.24,24.0,0.0,353.0
89,2008-09-26,25.71,25.71,25.4,25.41,25.52,-0.02,68.0,0.0,376.0
90,2008-09-29,26.01,27.6,26.01,27.25,27.45,1.93,328.0,0.0,685.0
91,2008-09-30,26.89,26.89,26.35,26.55,26.54,-0.91,46.0,0.0,754.0
92,2008-10-01,26.46,26.79,26.46,26.48,26.75,0.21,15.0,0.0,710.0
93,2008-10-02,26.9,27.4,26.8,27.35,27.39,0.64,45.0,0.0,743.0
94,2008-10-03,26.94,27.49,26.8,27.49,27.56,0.17,25.0,0.0,740.0
95,2008-10-06,28.0,29.0,27.67,28.0,28.3,0.74,253.0,0.0,675.0
96,2008-10-07,26.83,28.95,26.83,28.0,27.96,-0.34,381.0,0.0,1050.0
97,2008-10-08,28.75,28.75,27.2,28.0,28.02,0.06,118.0,0.0,931.0
98,2008-10-09,27.59,29.0,27.59,29.0,28.98,0.96,25.0,0.0,928.0
99,2008-10-10,29.01,30.47,28.99,29.1,29.3,0.32,76.0,0.0,965.0
100,2008-10-13,28.0,29.18,27.81,28.27,28.17,-1.13,47.0,0.0,974.0
101,2008-10-14,28.1,28.99,28.1,28.99,28.85,0.68,15.0,0.0,1004.0
102,2008-10-15,29.49,31.12,29.21,31.12,31.13,2.28,33.0,0.0,1025.0
