Date,Settle
2013-03-26,23.0
2013-03-27,23.05
2013-04-02,23.0
2013-04-03,23.0
2013-04-04,23.25
2013-04-05,23.45
2013-04-08,23.35
2013-04-09,23.35
2013-04-10,22.8
2013-04-11,22.8
2013-04-12,22.9
2013-04-15,22.95
2013-04-16,22.9
2013-04-17,23.4
2013-04-18,23.3
2013-04-19,22.9
2013-04-22,22.65
2013-04-25,22.15
2013-04-26,22.3
2013-04-29,22.25
2013-04-30,22.2
2013-05-02,21.85
2013-05-03,21.6
2013-05-07,21.5
2013-05-08,21.4
2013-05-09,21.4
2013-05-10,21.6
2013-05-13,21.45
2013-05-14,21.45
2013-05-15,21.7
2013-05-16,22.0
2013-05-17,21.95
2013-05-20,22.1
2013-05-21,22.3
2013-05-22,22.3
2013-05-23,22.6
2013-05-24,22.65
2013-05-27,22.6
2013-05-28,22.45
2013-05-29,22.75
2013-05-30,22.8
2013-05-31,22.8
2013-06-03,23.1
2013-06-04,22.95
2013-06-05,23.3
2013-06-06,23.3
2013-06-07,22.8
2013-06-10,22.75
2013-06-11,22.8
2013-06-12,23.15
2013-06-13,23.35
2013-06-14,23.45
2013-06-17,23.15
2013-06-18,23.2
2013-06-19,22.95
2013-06-20,24.0
2013-06-21,24.35
2013-06-24,24.8
2013-06-25,24.65
2013-06-26,24.45
2013-06-27,24.25
2013-06-28,24.3
2013-07-01,24.25
2013-07-02,24.25
2013-07-03,24.45
2013-07-04,23.75
2013-07-05,24.25
2013-07-08,23.7
2013-07-09,23.5
2013-07-10,23.5
2013-07-11,23.2
2013-07-12,23.1
2013-07-15,22.9
2013-07-16,22.75
2013-07-17,22.7
2013-07-18,22.25
2013-07-19,22.1
2013-07-22,21.95
2013-07-23,21.75
2013-07-24,21.5
2013-07-25,21.85
2013-07-26,21.8
2013-07-29,21.85
2013-07-30,21.8
2013-07-31,21.7
2013-08-01,21.2
2013-08-02,20.8
2013-08-05,20.7
2013-08-06,21.05
2013-08-07,21.2
2013-08-08,21.0
2013-08-09,21.05
2013-08-12,20.85
2013-08-13,20.9
2013-08-14,20.85
2013-08-15,21.25
2013-08-16,21.0
2013-08-19,21.05
2013-08-20,21.45
2013-08-21,21.8
2013-08-22,21.15
2013-08-23,20.95
2013-08-26,20.85
2013-08-27,22.1
2013-08-28,22.4
2013-08-29,22.05
2013-08-30,22.75
2013-09-02,22.2
2013-09-03,22.45
2013-09-04,22.55
2013-09-05,22.35
2013-09-06,21.95
2013-09-09,21.75
2013-09-10,21.35
2013-09-11,21.0
2013-09-12,20.9
2013-09-13,21.0
2013-09-16,20.75
2013-09-17,20.75
2013-09-18,20.45
2013-09-19,19.95
2013-09-20,19.8
2013-09-23,20.0
2013-09-24,19.65
2013-09-25,19.6
2013-09-26,19.6
2013-09-27,19.6
2013-09-30,20.2
2013-10-01,20.05
2013-10-02,20.2
2013-10-03,20.75
2013-10-04,20.7
2013-10-07,20.85
2013-10-08,21.65
