Date,Settle
2013-08-14,4117.5
2013-08-15,4089.0
2013-08-16,4114.5
2013-08-19,4084.5
2013-08-20,4029.5
2013-08-21,4036.5
2013-08-22,4060.0
2013-08-23,4073.0
2013-08-26,4050.0
2013-08-27,3951.5
2013-08-28,3953.0
2013-08-29,3972.5
2013-08-30,3928.5
2013-09-02,3992.0
2013-09-03,3971.0
2013-09-04,3970.0
2013-09-05,4002.5
2013-09-06,4033.0
2013-09-09,4042.5
2013-09-10,4111.0
2013-09-11,4120.0
2013-09-12,4105.0
2013-09-13,4116.0
2013-09-16,4140.5
2013-09-17,4149.0
2013-09-18,4224.0
2013-09-19,4198.0
2013-09-20,4188.0
2013-09-23,4178.0
2013-09-24,4191.0
2013-09-25,4186.0
2013-09-26,4196.5
2013-09-27,4189.5
2013-09-30,4144.0
2013-10-01,4192.5
2013-10-02,4169.5
2013-10-03,4123.0
2013-10-04,4167.5
2013-10-07,4154.0
2013-10-08,4119.5
2013-10-09,4137.0
2013-10-10,4235.0
2013-10-11,4230.0
2013-10-14,4238.5
2013-10-15,4238.0
2013-10-16,4246.0
2013-10-17,4249.5
2013-10-18,4285.0
