Date,Settle,Change,Open,High,Low,Trading Volume,Open Interest
2017-03-22,109.43,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-23,109.45,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-24,109.44,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-27,109.38,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-28,109.46,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-29,109.47,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-30,109.44,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,109.48,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-03,109.45,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-04,109.44,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-05,109.55,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-06,109.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,109.49,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-10,109.35,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-11,109.26,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-12,109.28,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-13,109.38,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-14,109.42,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-17,109.45,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-18,109.45,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-19,109.42,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-20,109.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-21,109.43,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-24,109.4,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-25,109.31,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-26,109.35,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-27,109.36,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,109.42,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
