Date,Settle
2013-07-26,370.55
2013-08-15,375.35
2013-08-16,374.25
2013-08-19,373.85
2013-08-20,368.0
2013-08-21,368.5
2013-08-22,371.5
2013-08-23,375.5
2013-08-26,372.4
2013-08-27,364.25
2013-08-28,363.7
2013-08-29,366.2
2013-08-30,362.1
2013-09-02,367.8
2013-09-03,366.05
2013-09-04,368.9
2013-09-05,369.75
2013-09-06,368.15
2013-09-09,371.35
2013-09-10,377.0
2013-09-11,375.55
2013-09-12,376.5
2013-09-13,377.3
2013-09-16,379.7
2013-09-17,380.5
2013-09-18,385.05
2013-09-19,382.1
2013-09-20,380.55
2013-09-23,379.65
2013-09-24,380.3
2013-09-25,379.05
2013-09-26,378.15
2013-09-27,375.7
2013-09-30,374.05
2013-10-01,377.75
2013-10-02,377.35
2013-10-03,374.1
2013-10-04,376.9
2013-10-07,372.8
2013-10-08,368.7
2013-10-09,368.1
2013-10-10,376.0
2013-10-11,377.45
2013-10-14,378.35
2013-10-15,380.5
2013-10-16,383.45
2013-10-17,383.6
2013-10-18,385.9
