Date,Open,High,Low,Last,Change,Settle,Volume,Prev Day Open Interest
2012-08-13,0.0,0.0,0.0,,,72500.0,0.0,0.0
2012-08-14,0.0,0.0,0.0,,,72550.0,0.0,0.0
2012-08-15,0.0,0.0,0.0,,,72475.0,0.0,0.0
2012-08-16,0.0,0.0,0.0,,,72550.0,0.0,0.0
2012-08-17,0.0,0.0,0.0,,,72550.0,0.0,0.0
2012-08-20,0.0,0.0,0.0,,,72650.0,0.0,0.0
2012-08-21,0.0,0.0,0.0,,,72425.0,0.0,0.0
2012-08-22,0.0,0.0,0.0,,,72725.0,0.0,0.0
2012-08-23,0.0,0.0,0.0,,,72400.0,0.0,0.0
2012-08-24,0.0,0.0,0.0,,,72250.0,0.0,0.0
2012-08-27,0.0,0.0,0.0,,,72225.0,0.0,0.0
2012-08-28,0.0,0.0,0.0,,,72225.0,0.0,0.0
2012-08-29,0.0,0.0,0.0,,,71675.0,0.0,0.0
2012-08-30,0.0,0.0,0.0,,,71425.0,0.0,0.0
2012-08-31,0.0,0.0,0.0,,,72450.0,0.0,0.0
2012-09-04,0.0,0.0,0.0,,,72475.0,0.0,0.0
2012-09-05,0.0,0.0,0.0,,,72825.0,0.0,0.0
2012-09-06,0.0,0.0,0.0,,,73050.0,0.0,0.0
2012-09-07,0.0,0.0,0.0,,,73425.0,0.0,0.0
2012-09-10,0.0,0.0,0.0,,,72925.0,0.0,0.0
2012-09-11,0.0,0.0,0.0,,,73350.0,0.0,0.0
2012-09-12,0.0,0.0,0.0,,,73050.0,0.0,0.0
2012-09-13,0.0,0.0,0.0,,,74300.0,0.0,0.0
2012-09-14,0.0,0.0,0.0,,,74875.0,0.0,0.0
2012-09-17,0.0,0.0,0.0,,,74375.0,0.0,0.0
2012-09-18,0.0,0.0,0.0,,,74250.0,0.0,0.0
2012-09-19,0.0,0.0,0.0,,,74025.0,0.0,0.0
2012-09-20,0.0,0.0,0.0,,,73925.0,0.0,0.0
2012-09-21,0.0,0.0,0.0,,,73900.0,0.0,0.0
2012-09-24,0.0,0.0,0.0,,,73675.0,0.0,0.0
2012-09-25,0.0,0.0,0.0,,,73975.0,0.0,0.0
