,Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
0,2008-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2008-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2008-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2008-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2008-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2008-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2008-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2008-12-22,0.0,0.0,0.0,0.0,36.15,36.15,0.0,0.0,0.0
8,2008-12-23,0.0,0.0,0.0,0.0,35.53,-0.62,0.0,0.0,0.0
9,2008-12-24,0.0,0.0,0.0,0.0,36.15,0.62,0.0,0.0,0.0
10,2008-12-26,0.0,0.0,0.0,0.0,37.62,1.47,0.0,0.0,0.0
11,2008-12-29,0.0,0.0,0.0,0.0,37.86,0.24,0.0,0.0,0.0
12,2008-12-30,0.0,0.0,0.0,0.0,37.35,-0.51,0.0,0.0,0.0
13,2008-12-31,0.0,0.0,0.0,0.0,36.08,-1.27,0.0,0.0,0.0
14,2009-01-02,0.0,0.0,0.0,0.0,35.33,-0.75,0.0,0.0,0.0
15,2009-01-05,0.0,0.0,0.0,0.0,35.0,-0.33,0.0,0.0,0.0
16,2009-01-06,0.0,0.0,0.0,0.0,34.63,-0.37,0.0,0.0,0.0
17,2009-01-07,0.0,0.0,0.0,0.0,35.48,0.85,0.0,0.0,0.0
18,2009-01-08,0.0,0.0,0.0,0.0,36.44,0.96,0.0,0.0,0.0
19,2009-01-09,0.0,0.0,0.0,0.0,35.19,-1.25,0.0,0.0,0.0
20,2009-01-12,35.8,35.8,35.8,35.8,36.52,1.33,1.0,0.0,1.0
21,2009-01-13,0.0,0.0,0.0,0.0,35.98,-0.54,0.0,0.0,1.0
22,2009-01-14,36.9,36.9,36.9,36.9,37.24,1.26,1.0,0.0,2.0
23,2009-01-15,0.0,0.0,0.0,0.0,38.1,0.86,0.0,0.0,2.0
24,2009-01-16,0.0,0.0,0.0,0.0,36.97,-1.13,0.0,0.0,2.0
25,2009-01-20,0.0,0.0,0.0,0.0,38.45,1.48,0.0,0.0,2.0
26,2009-01-21,0.0,0.0,0.0,0.0,37.95,-0.5,0.0,0.0,2.0
27,2009-01-22,0.0,0.0,0.0,0.0,38.75,0.8,0.0,0.0,2.0
28,2009-01-23,0.0,0.0,0.0,0.0,37.85,-0.9,0.0,0.0,2.0
29,2009-01-26,0.0,0.0,0.0,0.0,36.57,-1.28,0.0,0.0,2.0
30,2009-01-27,36.14,36.15,36.14,36.15,35.95,-0.62,2.0,0.0,4.0
31,2009-01-28,36.1,36.27,35.98,36.11,36.09,0.14,14.0,0.0,13.0
32,2009-01-29,35.95,36.32,35.25,35.48,35.45,-0.64,68.0,0.0,67.0
33,2009-01-30,35.76,36.5,35.76,36.5,36.46,1.01,20.0,0.0,78.0
34,2009-02-02,36.8,36.85,36.8,36.8,36.8,0.34,3.0,0.0,79.0
35,2009-02-03,36.4,36.55,36.4,36.55,36.55,-0.25,12.0,0.0,85.0
36,2009-02-04,36.5,36.5,36.3,36.35,36.4,-0.15,8.0,0.0,87.0
37,2009-02-05,37.1,37.1,36.8,36.85,36.85,0.45,10.0,0.0,75.0
38,2009-02-06,36.45,36.45,36.05,36.05,36.15,-0.7,6.0,0.0,70.0
39,2009-02-09,36.2,36.3,36.2,36.25,36.3,0.15,5.0,0.0,71.0
40,2009-02-10,36.5,36.7,36.5,36.7,36.7,0.4,3.0,0.0,65.0
41,2009-02-11,36.45,36.45,36.45,36.45,36.5,-0.2,1.0,0.0,66.0
42,2009-02-12,36.7,36.77,36.7,36.75,36.7,0.2,5.0,0.0,66.0
43,2009-02-13,36.2,36.2,36.05,36.05,36.15,-0.55,3.0,0.0,66.0
44,2009-02-17,36.7,36.8,36.7,36.75,36.8,0.65,4.0,0.0,69.0
45,2009-02-18,36.65,36.75,36.65,36.75,36.75,-0.05,4.0,0.0,71.0
46,2009-02-19,36.35,36.75,36.35,36.75,36.75,0.0,13.0,0.0,82.0
47,2009-02-20,37.75,37.95,37.3,37.55,37.35,0.6,12.0,0.0,88.0
48,2009-02-23,37.0,37.78,37.0,37.75,37.8,0.45,10.0,0.0,86.0
49,2009-02-24,37.5,37.75,37.3,37.3,37.1,-0.7,7.0,0.0,82.0
50,2009-02-25,37.2,37.5,37.2,37.5,37.55,0.45,8.0,0.0,77.0
51,2009-02-26,37.15,38.2,37.15,38.2,38.2,0.65,19.0,0.0,76.0
52,2009-02-27,38.2,38.45,38.1,38.15,38.25,0.05,9.0,0.0,72.0
53,2009-03-02,38.8,39.0,38.8,39.0,38.95,0.7,5.0,0.0,72.0
54,2009-03-03,37.9,38.6,37.9,38.5,38.6,-0.35,10.0,0.0,76.0
55,2009-03-04,37.9,37.9,36.65,37.05,37.2,-1.4,20.0,0.0,74.0
56,2009-03-05,37.34,37.34,37.02,37.02,37.8,0.6,2.0,0.0,74.0
57,2009-03-06,37.85,37.95,37.8,37.83,37.95,0.15,12.0,0.0,75.0
58,2009-03-09,37.65,37.8,37.5,37.5,37.8,-0.15,5.0,0.0,75.0
59,2009-03-10,36.85,36.95,36.05,36.05,36.05,-1.75,17.0,0.0,77.0
60,2009-03-11,35.65,35.7,35.5,35.55,35.55,-0.5,6.0,0.0,76.0
61,2009-03-12,35.2,35.25,35.1,35.25,35.25,-0.3,6.0,0.0,76.0
62,2009-03-13,35.3,35.68,35.3,35.6,35.65,0.4,5.0,0.0,76.0
63,2009-03-16,35.6,35.75,35.6,35.75,35.75,0.1,4.0,0.0,77.0
64,2009-03-17,35.65,35.65,35.5,35.5,35.35,-0.4,4.0,0.0,80.0
65,2009-03-18,35.7,35.8,35.4,35.8,35.75,0.4,8.0,0.0,82.0
66,2009-03-19,35.9,36.9,35.8,36.89,36.9,1.15,25.0,0.0,100.0
67,2009-03-20,37.4,38.45,37.4,38.25,38.1,1.2,23.0,0.0,100.0
68,2009-03-23,37.7,37.7,37.0,37.1,37.1,-1.0,22.0,0.0,97.0
69,2009-03-24,37.55,37.55,36.9,37.3,37.3,0.2,133.0,98.0,181.0
70,2009-03-25,36.95,37.35,36.85,37.35,37.25,-0.05,13.0,0.0,184.0
71,2009-03-26,37.23,37.23,36.88,37.0,37.0,-0.25,11.0,0.0,186.0
72,2009-03-27,37.1,37.8,37.0,37.8,37.9,0.9,8.0,0.0,187.0
73,2009-03-30,39.06,39.1,39.0,39.0,39.1,1.2,6.0,0.0,190.0
74,2009-03-31,39.1,39.1,38.85,38.85,38.8,-0.3,225.0,222.0,241.0
75,2009-04-01,38.35,38.7,38.2,38.2,38.25,-0.55,39.0,0.0,189.0
76,2009-04-02,37.85,38.5,37.8,38.25,38.3,0.05,54.0,0.0,226.0
77,2009-04-03,38.35,38.35,38.3,38.3,38.35,0.05,3.0,0.0,224.0
78,2009-04-06,38.75,38.75,38.55,38.55,38.5,0.15,112.0,0.0,325.0
79,2009-04-07,38.85,38.9,38.65,38.8,38.95,0.45,46.0,0.0,238.0
80,2009-04-08,38.75,38.85,38.7,38.85,38.85,-0.1,385.0,373.0,618.0
81,2009-04-09,38.2,38.2,38.2,38.2,37.8,-1.05,2.0,0.0,720.0
82,2009-04-13,37.8,37.8,37.75,37.75,37.9,0.1,3.0,0.0,721.0
83,2009-04-14,38.35,38.35,38.13,38.16,38.2,0.3,113.0,0.0,624.0
84,2009-04-15,38.2,38.4,38.08,38.1,38.15,-0.05,26.0,0.0,559.0
85,2009-04-16,37.6,37.95,37.1,37.2,37.25,-0.9,50.0,0.0,565.0
86,2009-04-17,33.55,37.2,33.55,36.58,36.55,-0.7,33.0,0.0,561.0
87,2009-04-20,36.9,37.75,36.9,37.75,37.65,1.1,31.0,0.0,561.0
88,2009-04-21,38.11,38.11,37.1,37.1,37.1,-0.55,17.0,0.0,557.0
89,2009-04-22,36.75,37.4,36.65,37.4,37.4,0.3,10.0,0.0,554.0
90,2009-04-23,37.65,37.86,36.9,36.9,36.85,-0.55,12.0,0.0,555.0
91,2009-04-24,37.0,37.0,36.9,37.0,37.1,0.25,5.0,0.0,559.0
92,2009-04-27,37.5,37.8,37.5,37.75,37.8,0.7,15.0,0.0,564.0
93,2009-04-28,37.9,37.9,37.4,37.4,37.45,-0.35,56.0,0.0,592.0
94,2009-04-29,37.1,37.1,36.15,36.65,36.7,-0.75,35.0,0.0,602.0
95,2009-04-30,36.2,36.75,36.15,36.7,36.7,0.0,25.0,0.0,610.0
96,2009-05-01,36.5,36.6,36.0,36.05,36.05,-0.65,15.0,0.0,614.0
97,2009-05-04,35.6,35.8,34.8,34.9,34.8,-1.25,45.0,0.0,630.0
98,2009-05-05,34.9,35.25,34.9,35.03,35.05,0.25,47.0,0.0,625.0
99,2009-05-06,34.45,34.75,33.9,34.0,33.95,-1.1,40.0,0.0,632.0
100,2009-05-07,33.75,34.3,33.75,34.15,34.2,0.25,56.0,0.0,649.0
101,2009-05-08,33.75,34.0,33.1,33.35,33.35,-0.85,141.0,0.0,637.0
102,2009-05-11,34.25,34.7,33.5,33.6,33.6,0.25,333.0,0.0,949.0
103,2009-05-12,33.65,34.1,33.6,33.65,33.6,0.0,120.0,0.0,1000.0
104,2009-05-13,34.55,34.55,33.9,34.05,34.05,0.45,90.0,0.0,995.0
105,2009-05-14,34.35,34.35,33.0,33.0,33.1,-0.95,50.0,0.0,1007.0
106,2009-05-15,33.0,33.35,32.6,33.35,33.3,0.2,69.0,0.0,996.0
107,2009-05-18,32.65,32.65,30.9,31.15,31.15,-2.15,173.0,0.0,1112.0
108,2009-05-19,31.3,31.4,31.05,31.2,31.25,0.1,353.0,0.0,1625.0
109,2009-05-20,30.6,31.5,30.25,31.5,31.55,0.3,344.0,0.0,1606.0
110,2009-05-21,32.25,32.55,31.7,32.25,32.25,0.7,184.0,0.0,1656.0
111,2009-05-22,32.15,32.51,32.05,32.35,32.25,0.0,53.0,0.0,1679.0
112,2009-05-26,32.8,32.8,31.15,31.3,31.35,-0.9,427.0,0.0,2033.0
113,2009-05-27,31.35,31.75,30.93,31.75,31.7,0.35,154.0,0.0,2072.0
114,2009-05-28,31.45,32.05,31.45,31.85,31.9,0.2,122.0,0.0,2107.0
115,2009-05-29,31.8,31.99,31.43,31.55,31.6,-0.3,39.0,0.0,2112.0
116,2009-06-01,31.07,31.25,30.7,30.75,30.8,-0.8,139.0,0.0,2180.0
117,2009-06-02,30.75,31.0,30.5,30.8,30.8,0.0,267.0,0.0,2151.0
118,2009-06-03,31.0,32.05,30.65,31.9,31.85,1.05,97.0,0.0,2172.0
119,2009-06-04,31.62,31.8,31.6,31.6,31.7,-0.15,22.0,0.0,2124.0
