,Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
0,2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2009-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2009-01-22,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0
9,2009-01-23,0.0,0.0,0.0,0.0,37.67,2.67,0.0,0.0,0.0
10,2009-01-26,0.0,0.0,0.0,0.0,35.9,-1.77,0.0,0.0,0.0
11,2009-01-27,34.56,34.6,34.56,34.6,35.05,-0.85,6.0,0.0,6.0
12,2009-01-28,35.6,35.77,35.56,35.64,35.59,0.54,13.0,0.0,9.0
13,2009-01-29,35.25,36.0,34.4,35.0,34.98,-0.61,50.0,0.0,49.0
14,2009-01-30,35.49,35.8,35.49,35.66,35.59,0.61,5.0,0.0,53.0
15,2009-02-02,0.0,0.0,0.0,0.0,36.05,0.46,0.0,0.0,53.0
16,2009-02-03,0.0,0.0,0.0,0.0,35.8,-0.25,0.0,0.0,53.0
17,2009-02-04,36.55,36.55,35.45,35.65,35.65,-0.15,13.0,0.0,58.0
18,2009-02-05,36.0,36.1,36.0,36.0,36.0,0.35,3.0,0.0,51.0
19,2009-02-06,35.75,35.75,35.5,35.5,35.55,-0.45,5.0,0.0,54.0
20,2009-02-09,35.4,35.45,35.4,35.45,35.45,-0.1,2.0,0.0,55.0
21,2009-02-10,35.8,35.8,35.8,35.8,35.8,0.35,1.0,0.0,55.0
22,2009-02-11,0.0,0.0,0.0,0.0,35.6,-0.2,0.0,0.0,55.0
23,2009-02-12,35.7,35.75,35.7,35.75,35.65,0.05,4.0,0.0,57.0
24,2009-02-13,35.3,35.35,35.3,35.35,35.4,-0.25,2.0,0.0,59.0
25,2009-02-17,36.0,36.15,36.0,36.15,36.2,0.8,2.0,0.0,60.0
26,2009-02-18,36.15,36.15,36.15,36.15,36.1,-0.1,1.0,0.0,59.0
27,2009-02-19,35.65,35.75,35.65,35.7,35.75,-0.35,6.0,0.0,62.0
28,2009-02-20,37.1,37.1,36.1,36.1,36.3,0.55,8.0,0.0,63.0
29,2009-02-23,36.4,36.6,36.4,36.6,36.6,0.3,4.0,0.0,63.0
30,2009-02-24,36.6,36.6,36.3,36.3,36.25,-0.35,5.0,0.0,65.0
31,2009-02-25,36.0,36.45,36.0,36.45,36.45,0.2,7.0,0.0,68.0
32,2009-02-26,36.4,37.0,36.25,37.0,37.0,0.55,14.0,0.0,67.0
