Date,Settle
2014-03-11,256.35
2014-03-12,251.95
2014-03-13,252.7
2014-03-17,251.2
2014-03-18,251.8375
2014-03-19,252.9
2014-03-20,249.75
2014-03-21,251.7
2014-03-25,253.05
2014-03-26,256.45
2014-03-27,257.55
2014-03-28,257.85
2014-03-31,258.4
2014-04-01,259.85
2014-04-02,260.5
2014-04-03,260.7
2014-04-04,261.4
2014-04-07,260.55
2014-04-08,262.175
2014-04-11,260.85
2014-04-14,261.75
2014-04-15,260.6
2014-04-16,261.25
2014-04-17,260.85
2014-04-18,262.75
2014-04-21,262.4
2014-04-22,262.25
2014-04-23,261.95
2014-04-24,261.25
2014-04-25,257.8
2014-04-28,258.375
2014-04-29,258.075
2014-04-30,255.4
2014-05-02,255.7
2014-05-07,252.45
2014-05-08,253.85
2014-05-09,254.0
2014-05-12,255.75
2014-05-13,259.25
2014-05-14,263.05
2014-05-15,262.85
2014-05-16,262.9
2014-05-19,262.95
2014-05-20,262.8
2014-05-21,263.1
2014-05-22,264.1
2014-05-23,263.85
2014-05-26,263.15
2014-05-27,260.425
2014-05-28,263.55
2014-05-29,263.1
2014-05-30,261.975
2014-06-02,261.5
2014-06-03,261.6
2014-06-05,259.9
2014-06-09,260.0
2014-06-10,262.7
2014-06-11,262.4
2014-06-12,261.6
