,Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
0,2008-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2008-07-21,0.0,0.0,0.0,0.0,23.87,23.87,0.0,0.0,0.0
2,2008-07-22,0.0,0.0,0.0,0.0,0.0,-23.87,0.0,0.0,0.0
3,2008-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2008-09-22,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0
5,2008-09-23,0.0,0.0,0.0,0.0,24.95,-0.05,0.0,0.0,0.0
6,2008-09-24,0.0,0.0,0.0,0.0,24.88,-0.07,0.0,0.0,0.0
7,2008-09-25,0.0,0.0,0.0,0.0,24.72,-0.16,0.0,0.0,0.0
8,2008-09-26,0.0,0.0,0.0,0.0,24.93,0.21,0.0,0.0,0.0
9,2008-09-29,0.0,0.0,0.0,0.0,27.22,2.29,0.0,0.0,0.0
10,2008-09-30,27.55,27.55,26.1,26.1,26.18,-1.04,12.0,0.0,10.0
11,2008-10-01,26.25,26.35,26.25,26.35,26.36,0.18,4.0,0.0,10.0
12,2008-10-02,0.0,0.0,0.0,0.0,26.87,0.51,0.0,0.0,10.0
13,2008-10-03,0.0,0.0,0.0,0.0,27.18,0.31,0.0,0.0,10.0
14,2008-10-06,27.5,27.5,27.5,27.5,27.6,0.42,1.0,0.0,10.0
15,2008-10-07,27.95,28.1,27.95,28.1,23.46,-4.14,3.0,0.0,10.0
16,2008-10-08,27.3,27.4,27.28,27.28,26.85,3.39,10.0,0.0,20.0
17,2008-10-09,0.0,0.0,0.0,0.0,28.81,1.96,0.0,0.0,20.0
18,2008-10-10,0.0,0.0,0.0,0.0,28.25,-0.56,0.0,0.0,20.0
19,2008-10-13,0.0,0.0,0.0,0.0,27.07,-1.18,0.0,0.0,20.0
20,2008-10-14,0.0,0.0,0.0,0.0,27.09,0.02,0.0,0.0,20.0
21,2008-10-15,0.0,0.0,0.0,0.0,28.05,0.96,0.0,0.0,20.0
22,2008-10-16,0.0,0.0,0.0,0.0,28.13,0.08,0.0,0.0,20.0
23,2008-10-17,0.0,0.0,0.0,0.0,29.61,1.48,0.0,0.0,20.0
24,2008-10-20,25.9,33.11,25.9,28.1,28.53,-1.08,16.0,0.0,30.0
25,2008-10-21,0.0,0.0,0.0,0.0,29.18,0.65,0.0,0.0,30.0
26,2008-10-22,31.5,31.5,31.5,31.5,32.24,3.06,5.0,0.0,35.0
27,2008-10-23,0.0,0.0,0.0,0.0,32.69,0.45,0.0,0.0,35.0
28,2008-10-24,35.49,38.82,35.49,38.82,37.21,4.52,41.0,0.0,75.0
29,2008-10-27,0.0,0.0,0.0,0.0,36.51,-0.7,0.0,0.0,75.0
30,2008-10-28,35.26,35.26,35.0,35.0,34.41,-2.1,25.0,0.0,75.0
31,2008-10-29,0.0,0.0,0.0,0.0,34.51,0.1,0.0,0.0,75.0
