Date,Open,High,Low,Settle,Volume,Interest
2014-03-24,,,,4171.0,0.0,0.0
2014-03-25,,,,4229.0,0.0,0.0
2014-03-26,,,,4272.0,0.0,0.0
2014-03-27,,,,4268.0,0.0,0.0
2014-03-28,,,,4297.0,0.0,0.0
2014-03-31,,,,4281.5,0.0,0.0
2014-04-01,,,,4312.0,0.0,0.0
2014-04-02,,,,4317.0,0.0,0.0
2014-04-03,,,,4336.5,0.0,0.0
2014-04-04,,,,4372.0,0.0,0.0
2014-04-07,,,,4328.0,0.0,0.0
2014-04-08,,,,4312.0,0.0,0.0
2014-04-09,,,,4328.5,0.0,0.0
2014-04-10,,,,4301.0,0.0,0.0
2014-04-11,,,,4253.0,0.0,0.0
2014-04-14,,,,4273.5,0.0,0.0
2014-04-15,,,,4235.5,0.0,0.0
2014-04-16,,,,4293.0,0.0,0.0
2014-04-17,,,,4319.5,0.0,0.0
2014-04-22,,,,4370.0,0.0,0.0
2014-04-23,,,,4341.0,0.0,0.0
2014-04-24,,,,4370.0,0.0,0.0
2014-04-25,,,,4343.5,0.0,0.0
2014-04-28,,,,4354.0,0.0,0.0
2014-04-29,,,,4393.0,0.0,0.0
2014-04-30,,,,4389.5,0.0,0.0
2014-05-01,,,,4389.5,0.0,0.0
2014-05-02,,,,4366.5,0.0,0.0
2014-05-05,,,,4381.5,0.0,0.0
2014-05-06,,,,4334.5,0.0,2.0
2014-05-07,,,,4359.5,0.0,0.0
2014-05-08,,,,4417.5,0.0,0.0
2014-05-09,,,,4394.0,0.0,0.0
2014-05-12,,,,4429.5,0.0,0.0
2014-05-13,,,,4442.0,0.0,0.0
2014-05-14,,,,4443.5,0.0,0.0
2014-05-15,,,,4389.0,0.0,0.0
2014-05-16,,,,4405.0,0.0,0.0
2014-05-19,,,,4417.0,0.0,0.0
2014-05-20,,,,4408.5,0.0,0.0
2014-05-21,,,,4425.0,0.0,0.0
2014-05-22,,,,4435.5,0.0,0.0
2014-05-23,,,,4450.0,0.0,0.0
2014-05-26,,,,4486.5,0.0,0.0
2014-05-27,,,,4493.5,0.0,0.0
2014-05-28,,,,4494.0,0.0,0.0
2014-05-29,,,,4499.0,0.0,0.0
2014-05-30,,,,4488.5,0.0,0.0
2014-06-02,,,,4495.5,0.0,0.0
2014-06-03,,,,4485.0,0.0,0.0
2014-06-04,,,,4481.5,0.0,0.0
2014-06-05,,,,4530.0,0.0,0.0
2014-06-06,,,,4569.0,0.0,0.0
2014-06-09,,,,4571.5,0.0,0.0
2014-06-10,,,,4575.5,0.0,0.0
2014-06-11,,,,4538.0,0.0,0.0
2014-06-12,,,,4537.0,0.0,0.0
2014-06-13,,,,4524.5,0.0,0.0
2014-06-16,,,,4490.5,0.0,0.0
2014-06-17,,,,4516.5,0.0,0.0
2014-06-18,,,,4510.5,0.0,0.0
2014-06-19,,,,4542.5,0.0,0.0
2014-06-20,,,,4520.5,0.0,0.0
2014-06-23,,,,4495.5,0.0,0.0
2014-06-24,,,,4501.5,0.0,0.0
2014-06-25,,,,4449.0,0.0,0.0
2014-06-26,,,,4428.0,0.0,0.0
2014-06-27,,,,4426.0,0.0,0.0
2014-06-30,,,,4409.5,0.0,0.0
2014-07-01,,,,4449.0,0.0,0.0
2014-07-02,,,,4431.5,0.0,0.0
2014-07-03,,,,4477.5,0.0,0.0
2014-07-04,,,,4455.0,0.0,0.0
2014-07-07,,,,4393.0,0.0,0.0
2014-07-08,,,,4330.5,0.0,0.0
2014-07-09,,,,4348.5,0.0,0.0
2014-07-10,,,,4289.0,0.0,0.0
2014-07-11,,,,4306.0,0.0,0.0
2014-07-14,,,,4338.5,0.0,0.0
2014-07-15,,,,4293.0,0.0,0.0
2014-07-16,,,,4358.0,0.0,0.0
2014-07-17,,,,4303.5,0.0,0.0
2014-07-18,,,,4325.5,0.0,0.0
2014-07-21,,,,4292.0,0.0,0.0
2014-07-22,,,,4358.5,0.0,0.0
2014-07-23,,,,4364.0,0.0,0.0
2014-07-24,,,,4399.0,0.0,0.0
2014-07-25,,,,4318.0,0.0,0.0
2014-07-28,,,,4334.5,0.0,0.0
2014-07-29,,,,4353.5,0.0,0.0
2014-07-30,,,,4299.5,0.0,0.0
2014-08-04,,,,4204.5,0.0,0.0
2014-08-05,,,,4221.5,0.0,0.0
2014-08-06,,,,4193.5,0.0,0.0
2014-08-08,,,,4135.0,0.0,0.0
2014-08-11,,,,4183.0,0.0,0.0
2014-08-12,,,,4149.5,0.0,0.0
2014-08-13,,,,4181.5,0.0,0.0
2014-08-14,,,,4193.5,0.0,0.0
2014-08-15,,,,4159.0,0.0,0.0
2014-08-18,,,,4215.5,0.0,0.0
2014-08-19,,,,4241.5,0.0,0.0
2014-08-20,,,,4227.0,0.0,10.0
2014-08-21,,,,4278.5,0.0,10.0
2014-08-22,,,,4236.0,0.0,10.0
2014-08-25,,,,4325.0,0.0,11.0
2014-08-26,,,,4375.5,0.0,10.0
2014-08-27,,,,4378.5,0.0,10.0
2014-08-28,,,,4351.0,0.0,10.0
2014-08-29,,,,4363.0,0.0,10.0
2014-09-01,,,,4363.0,0.0,14.0
2014-09-02,,,,4360.5,0.0,11.0
2014-09-03,,,,4403.5,0.0,11.0
2014-09-04,,,,4476.5,0.0,11.0
2014-09-05,,,,4467.0,0.0,11.0
2014-09-08,,,,4456.5,0.0,11.0
2014-09-09,,,,4434.5,0.0,11.0
2014-09-10,,,,4434.0,0.0,11.0
2014-09-11,,,,4421.0,0.0,11.0
2014-09-12,,,,4419.5,0.0,11.0
2014-09-15,,,,4408.5,0.0,11.0
2014-09-16,,,,4391.0,0.0,11.0
2014-09-17,,,,4410.0,0.0,13.0
2014-09-18,,,,4443.5,0.0,13.0
2014-09-19,,,,4442.0,0.0,13.0
2014-09-22,,,,4422.0,0.0,13.0
2014-09-23,,,,4345.0,0.0,15.0
2014-09-24,,,,4400.0,0.0,15.0
2014-09-25,,,,4340.0,0.0,15.0
2014-09-26,,,,4379.0,0.0,15.0
2014-09-29,,,,4344.0,0.0,13.0
2014-09-30,,,,4403.0,0.0,13.0
2014-10-01,,,,4351.5,0.0,13.0
2014-10-02,,,,4227.5,0.0,13.0
2014-10-03,,,,4267.5,0.0,13.0
2014-10-06,,,,4272.0,0.0,13.0
2014-10-07,,,,4196.0,0.0,13.0
2014-10-08,,,,4156.5,0.0,13.0
2014-10-09,,,,4127.5,0.0,13.0
2014-10-10,,,,4061.0,0.0,14.0
2014-10-13,,,,4068.0,0.0,14.0
2014-10-14,,,,4075.5,0.0,14.0
2014-10-15,,,,3927.0,0.0,15.0
2014-10-16,,,,3907.0,0.0,17.0
2014-10-20,,,,3978.5,0.0,18.0
2014-10-21,,,,4069.5,0.0,17.0
2014-10-22,,,,4092.0,0.0,17.0
2014-10-23,,,,4146.0,0.0,27.0
2014-10-24,,,,4120.5,0.0,27.0
2014-10-28,,,,4103.0,0.0,27.0
2014-10-29,,,,4097.0,0.0,27.0
2014-10-30,,,,4130.0,0.0,82.0
2014-10-31,,,,4221.0,0.0,82.0
2014-11-03,,,,4181.0,0.0,82.0
2014-11-04,,,,4113.5,0.0,82.0
2014-11-05,,,,4196.5,0.0,82.0
2014-11-06,,,,4217.0,0.0,82.0
2014-11-07,,,,4180.0,0.0,82.0
2014-11-10,,,,4212.0,0.0,86.0
2014-11-11,,,,4235.0,0.0,100.0
2014-11-12,,,,4170.0,0.0,150.0
2014-11-13,,,,4178.5,0.0,150.0
2014-11-14,,,,4193.5,0.0,150.0
2014-11-17,,,,4214.5,0.0,150.0
2014-11-18,,,,4252.0,0.0,150.0
2014-11-19,,,,4257.5,0.0,150.0
2014-11-20,,,,4227.0,0.0,150.0
2014-11-21,,,,4338.0,0.0,150.0
2014-11-24,,,,4364.0,0.0,150.0
2014-11-25,,,,4375.0,0.0,152.0
2014-11-26,,,,4368.0,0.0,164.0
2014-11-27,,,,4377.0,0.0,244.0
2014-11-28,,,,4386.0,0.0,633.0
2014-12-01,,,,4373.0,0.0,700.0
2014-12-02,,,,4384.0,0.0,810.0
2014-12-03,,,,4387.5,0.0,949.0
2014-12-04,,,,4319.5,0.0,956.0
2014-12-05,,,,4416.5,0.0,959.0
2014-12-08,,,,4373.0,0.0,1563.0
2014-12-09,,,,4264.5,0.0,1586.0
2014-12-10,,,,4228.0,0.0,2585.0
2014-12-11,,,,4223.0,0.0,3704.0
2014-12-12,,,,4108.5,0.0,4566.0
2014-12-15,,,,4008.5,0.0,4901.0
2014-12-16,,,,4098.5,0.0,4969.0
2014-12-17,,,,4115.0,0.0,7987.0
2014-12-18,,,,4251.0,0.0,9213.0
2014-12-19,,,,4249.0,0.0,9389.0
2014-12-22,,,,4261.5,0.0,9341.0
2014-12-23,,,,4322.5,0.0,9424.0
2014-12-24,,,,4306.0,0.0,9829.0
2014-12-29,,,,4324.5,0.0,9771.0
2014-12-30,,,,4250.0,0.0,9488.0
2014-12-31,,,,4277.5,0.0,10163.0
2015-01-08,,,,4261.5,0.0,11543.0
2015-01-09,,,,4176.0,0.0,11075.0
2015-01-12,,,,4227.0,0.0,10955.0
2015-01-13,,,,4288.0,0.0,10845.0
2015-01-14,,,,4223.0,0.0,10869.0
2015-01-15,,,,4321.0,0.0,10594.0
2015-01-16,,,,4379.0,0.0,11698.0
2015-01-19,4402.5,4422.0,4367.5,4393.0,5484.0,11628.0
2015-01-20,4417.0,4462.5,4404.5,4445.0,456.0,16678.0
2015-01-21,4455.0,4488.0,4419.0,4483.5,514.0,16940.0
2015-01-22,4486.0,4608.5,4466.0,4553.0,1025.0,17033.0
2015-01-23,4603.5,4673.0,4589.5,4641.0,2170.0,17204.0
2015-01-26,4609.5,4689.0,4609.5,4675.0,546.0,16809.0
2015-01-27,4682.5,4682.5,4595.0,4624.5,1081.0,16548.0
2015-01-28,4665.0,4672.5,4553.0,4610.5,384.0,15837.0
2015-01-29,4560.0,4670.5,4557.5,4634.0,382.0,15808.0
2015-01-30,4654.5,4664.0,4587.0,4607.5,1082.0,15762.0
2015-02-02,4610.0,4652.0,4590.0,4629.5,292.0,16138.0
2015-02-03,4647.5,4701.5,4643.0,4677.5,1568.0,15776.0
2015-02-04,4693.5,4696.5,4647.0,4696.0,2520.0,14655.0
2015-02-05,4640.0,4706.5,4638.0,4706.0,465.0,14651.0
2015-02-06,4695.0,4707.0,4651.5,4691.5,471.0,13391.0
2015-02-09,4651.0,4659.5,4614.0,4653.5,805.0,13402.0
2015-02-10,4652.5,4717.5,4635.5,4696.5,864.0,13867.0
2015-02-11,4700.0,4702.0,4661.0,4678.0,1343.0,14422.0
2015-02-12,4692.0,4751.0,4665.5,4726.0,5353.0,15295.0
2015-02-13,4747.0,4777.0,4742.5,4759.0,19672.0,17399.0
2015-02-16,4762.5,4767.5,4721.5,4752.5,47707.0,29651.0
2015-02-17,4728.5,4789.0,4684.0,4755.0,121951.0,69749.0
2015-02-18,4773.0,4810.5,4772.5,4799.5,159109.0,146700.0
2015-02-19,4799.0,4843.0,4771.5,4834.5,61156.0,226427.0
2015-02-20,4823.5,4889.0,4782.0,4832.5,125066.0,247790.0
2015-02-23,4865.5,4877.5,4832.0,4862.0,77470.0,265520.0
2015-02-24,4859.0,4901.0,4844.5,4887.0,115870.0,269056.0
2015-02-25,4893.0,4897.5,4864.5,4883.5,77998.0,278749.0
2015-02-26,4893.0,4912.0,4877.5,4910.5,77490.0,287325.0
2015-02-27,4901.0,4953.5,4897.5,4951.5,87173.0,292076.0
2015-03-02,4940.5,4951.5,4900.5,4918.0,76963.0,300264.0
2015-03-03,4927.0,4938.0,4863.0,4870.5,75093.0,309772.0
2015-03-04,4884.0,4925.0,4857.5,4916.5,110503.0,304673.0
2015-03-05,4930.0,4976.0,4920.0,4961.5,87360.0,314358.0
2015-03-06,4967.0,4988.0,4940.5,4965.5,83881.0,318870.0
2015-03-09,4950.0,4952.5,4918.5,4938.5,79799.0,322309.0
2015-03-10,4931.0,4942.0,4870.0,4884.5,112751.0,318257.0
2015-03-11,4896.5,5012.5,4895.0,4996.5,128034.0,321742.0
2015-03-12,5004.5,5005.5,4981.5,4987.5,81286.0,340843.0
