,Date,Open,High,Low,Close,Settle,Change,Volume,EFP,Open Interest
0,2014-02-24,0.0,17.9,18.55,0.0,18.2,18.2,0.0,0.0,0.0
1,2014-02-25,18.44,18.48,18.35,18.37,18.35,0.15,189.0,0.0,196.0
2,2014-02-26,18.38,18.61,18.29,18.5,18.55,0.2,533.0,0.0,636.0
3,2014-02-27,18.55,18.71,18.5,18.59,18.55,0.0,358.0,0.0,730.0
4,2014-02-28,18.7,18.83,18.48,18.8,18.75,0.2,706.0,0.0,1188.0
5,2014-03-03,19.09,19.11,18.93,18.95,19.0,0.25,301.0,0.0,1374.0
6,2014-03-04,19.0,19.0,18.47,18.68,18.65,-0.35,434.0,0.0,1536.0
7,2014-03-05,18.6,18.65,18.54,18.65,18.65,0.0,349.0,0.0,1788.0
8,2014-03-06,18.62,18.65,18.55,18.58,18.55,-0.1,183.0,0.0,1859.0
9,2014-03-07,18.45,18.71,18.4,18.65,18.65,0.1,254.0,0.0,1979.0
10,2014-03-10,18.8,18.8,18.59,18.59,18.6,-0.05,11.0,0.0,1980.0
11,2014-03-11,18.7,18.91,18.58,18.76,18.8,0.2,159.0,0.0,2041.0
12,2014-03-12,18.92,18.95,18.69,18.8,18.75,-0.05,363.0,0.0,2196.0
13,2014-03-13,18.67,19.1,18.67,19.0,19.0,0.25,128.0,0.0,2254.0
14,2014-03-14,19.05,19.15,18.85,18.98,19.0,0.0,278.0,0.0,2265.0
15,2014-03-17,18.87,18.95,18.55,18.6,18.55,-0.45,85.0,0.0,2313.0
16,2014-03-18,18.6,18.6,18.35,18.4,18.45,-0.1,498.0,0.0,2428.0
17,2014-03-19,18.45,18.9,18.4,18.55,18.55,0.1,268.0,0.0,2523.0
18,2014-03-20,18.45,18.6,18.3,18.35,18.35,-0.2,493.0,0.0,2775.0
19,2014-03-21,18.37,18.53,18.34,18.37,18.4,0.05,2260.0,0.0,3949.0
20,2014-03-24,18.28,18.55,18.25,18.35,18.4,0.0,169.0,0.0,3947.0
