Date,Settle
2014-03-18,112.165
2014-03-19,112.47
2014-03-20,112.17
2014-03-21,112.01
2014-03-25,112.2
2014-03-26,112.16
2014-03-27,112.2
2014-03-28,112.4
2014-03-31,112.38
2014-04-01,112.14
2014-04-02,112.0
2014-04-03,111.97
2014-04-04,111.99
2014-04-07,112.36
2014-04-08,112.2
2014-04-09,112.39
2014-04-10,112.24
2014-04-11,112.31
2014-04-14,112.25
2014-04-15,112.25
2014-04-16,112.19
2014-04-17,112.42
2014-04-18,112.21
2014-04-21,112.09
2014-04-22,112.11
2014-04-23,112.24
2014-04-24,112.24
2014-04-25,112.42
2014-04-28,112.42
2014-04-29,112.45
2014-04-30,112.42
2014-05-02,112.64
2014-05-07,113.02
2014-05-08,113.05
2014-05-09,113.4
2014-05-12,113.29
2014-05-13,113.14
2014-05-14,113.23
2014-05-15,113.9
2014-05-16,113.75
2014-05-19,113.91
2014-05-20,113.85
2014-05-21,113.88
2014-05-22,113.62
2014-05-23,113.81
2014-05-26,113.95
2014-05-27,114.115
2014-05-28,114.05
2014-05-29,114.46
2014-05-30,114.23
2014-06-02,114.07
2014-06-03,113.95
2014-06-05,113.83
2014-06-09,113.91
2014-06-10,114.31
2014-06-11,114.16
2014-06-12,114.54
2014-06-13,114.61
2014-06-16,114.575
2014-06-17,114.75
