Date,Settle
2014-12-11,244.65
2014-12-12,244.85
2014-12-15,245.8
2014-12-16,243.45
2014-12-17,243.225
2014-12-18,242.35
2014-12-19,246.3
2014-12-22,247.925
2014-12-23,247.925
2014-12-24,248.375
2014-12-29,247.5
2014-12-30,244.25
2014-12-31,245.225
2015-01-02,245.125
2015-01-05,244.875
2015-01-06,240.025
2015-01-07,240.675
2015-01-08,243.7
2015-01-09,246.975
2015-01-12,246.075
2015-01-13,247.45
2015-01-14,246.2
2015-01-15,247.3
2015-01-16,243.3
2015-01-19,243.075
2015-01-20,248.0
2015-01-21,249.0
2015-01-22,243.075
2015-01-23,251.1
2015-01-26,250.95
2015-01-27,252.7
2015-01-28,252.75
2015-01-29,251.9
2015-01-30,251.15
2015-02-02,251.25
2015-02-03,243.075
2015-02-04,252.4
2015-02-05,249.85
2015-02-06,250.5
2015-02-09,250.05
2015-02-10,248.6
2015-02-11,249.1
2015-02-12,247.875
2015-02-13,250.05
2015-02-16,250.5
2015-02-17,250.95
2015-02-23,251.675
2015-02-24,252.05
2015-02-25,252.95
2015-02-26,252.8
2015-02-27,252.375
2015-03-02,253.4
2015-03-03,254.6
2015-03-04,254.25
2015-03-05,254.45
2015-03-06,255.8
2015-03-09,253.0
2015-03-10,251.8
