Date,Settle
2014-03-18,105.805
2014-03-19,105.86
2014-03-20,105.74
2014-03-21,105.67
2014-03-25,105.71
2014-03-26,105.69
2014-03-27,105.7
2014-03-28,105.73
2014-03-31,105.73
2014-04-01,105.69
2014-04-02,105.69
2014-04-03,105.67
2014-04-04,105.67
2014-04-07,105.75
2014-04-08,105.73
2014-04-09,105.8
2014-04-10,105.76
2014-04-11,105.79
2014-04-14,105.75
2014-04-15,105.73
2014-04-16,105.7
2014-04-17,105.76
2014-04-18,105.71
2014-04-21,105.7
2014-04-22,105.72
2014-04-23,105.73
2014-04-24,105.74
2014-04-25,105.77
2014-04-28,105.77
2014-04-29,105.78
2014-04-30,105.78
2014-05-02,105.84
2014-05-07,105.91
2014-05-08,105.91
2014-05-09,105.98
2014-05-12,105.95
2014-05-13,105.9
2014-05-14,105.92
2014-05-15,106.02
2014-05-16,105.98
2014-05-19,106.0
2014-05-20,105.99
2014-05-21,105.98
2014-05-22,105.95
2014-05-23,106.01
2014-05-26,106.04
2014-05-27,106.065
2014-05-28,106.05
2014-05-29,106.13
2014-05-30,106.07
2014-06-02,106.05
2014-06-03,106.03
2014-06-05,106.02
2014-06-09,106.04
2014-06-10,106.13
2014-06-11,106.1
2014-06-12,106.21
2014-06-13,106.34
2014-06-16,106.355
2014-06-17,106.37
