Date,Settle
2015-12-11,124.58
2015-12-14,124.84
2015-12-15,124.99
2015-12-16,124.8
2015-12-17,125.33
2015-12-18,125.75
2015-12-21,126.08
2015-12-22,125.81
2015-12-23,125.87
2015-12-24,126.0
2015-12-28,125.98
2015-12-29,126.2
2015-12-30,126.15
2016-01-04,126.62
2016-01-05,126.46
2016-01-06,126.7
2016-01-07,126.88
2016-01-08,126.47
2016-01-11,126.84
2016-01-12,126.7
2016-01-13,126.8
2016-01-14,126.66
2016-01-15,126.8
2016-01-18,126.64
2016-01-19,126.41
2016-01-20,127.07
2016-01-21,127.14
2016-01-22,126.67
2016-01-25,126.83
2016-01-26,127.16
2016-01-27,126.94
2016-01-28,126.88
2016-01-29,127.34
2016-02-01,127.94
2016-02-02,127.9
2016-02-03,128.5
2016-02-04,128.55
2016-02-05,128.32
2016-02-11,129.56
2016-02-12,129.12
2016-02-15,128.91
2016-02-16,129.37
2016-02-17,129.37
2016-02-18,129.13
2016-02-19,129.05
2016-02-22,128.94
2016-02-23,128.9
2016-02-24,129.05
2016-02-25,129.25
2016-02-26,129.49
2016-02-29,129.37
2016-03-02,128.93
2016-03-03,128.52
2016-03-04,128.35
2016-03-07,128.51
2016-03-08,128.71
2016-03-09,128.69
2016-03-10,128.5
2016-03-11,127.89
2016-03-14,128.0
