Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-08-12,0.0,0.0,0.0,,,1.3667,0.0,0.0
2013-08-13,0.0,0.0,0.0,,,1.3621,0.0,0.0
2013-08-14,0.0,0.0,0.0,,,1.3624,0.0,0.0
2013-08-15,0.0,0.0,0.0,,,1.3714,0.0,0.0
2013-08-16,0.0,0.0,0.0,,,1.3735,0.0,0.0
2013-08-19,0.0,0.0,0.0,,,1.3749,0.0,0.0
2013-08-20,0.0,0.0,0.0,,,1.3825,0.0,0.0
2013-08-21,0.0,0.0,0.0,,,1.3778,0.0,0.0
2013-08-22,0.0,0.0,0.0,,,1.3794,0.0,0.0
2013-08-23,0.0,0.0,0.0,,,1.378,0.0,0.0
2013-08-26,0.0,0.0,0.0,,,1.3769,0.0,0.0
2013-08-27,0.0,0.0,0.0,,,1.3779,0.0,0.0
2013-08-28,0.0,0.0,0.0,,,1.3736,0.0,0.0
2013-08-29,0.0,0.0,0.0,,,1.3649,0.0,0.0
2013-08-30,0.0,0.0,0.0,,,1.3604,0.0,0.0
2013-09-03,0.0,0.0,0.0,,,1.3579,0.0,0.0
2013-09-04,0.0,0.0,0.0,,,1.3625,0.0,0.0
2013-09-05,0.0,0.0,0.0,,,1.3549,0.0,0.0
2013-09-06,0.0,0.0,0.0,,,1.3621,0.0,0.0
2013-09-09,0.0,0.0,0.0,,,1.3659,0.0,0.0
2013-09-10,0.0,0.0,0.0,,,1.3667,0.0,0.0
2013-09-11,0.0,0.0,0.0,,,1.3715,0.0,0.0
2013-09-12,0.0,0.0,0.0,,,1.3697,0.0,0.0
2013-09-13,0.0,0.0,0.0,,,1.372,0.0,0.0
2013-09-16,0.0,0.0,0.0,,,1.3711,0.0,0.0
2013-09-17,0.0,0.0,0.0,,,1.3733,0.0,0.0
2013-09-18,0.0,0.0,0.0,,,1.3878,0.0,0.0
2013-09-19,0.0,0.0,0.0,,,1.3846,0.0,0.0
2013-09-20,0.0,0.0,0.0,,,1.3837,0.0,0.0
2013-09-23,0.0,0.0,0.0,,,1.382,0.0,0.0
2013-09-24,0.0,0.0,0.0,,,1.3792,0.0,0.0
2013-09-25,0.0,0.0,0.0,,,1.3831,0.0,0.0
2013-09-26,0.0,0.0,0.0,,,1.3799,0.0,0.0
2013-09-27,0.0,0.0,0.0,,,1.3825,0.0,0.0
2013-09-30,0.0,0.0,0.0,,,1.3849,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,1.3847,0.0,0.0
2013-10-02,0.0,0.0,0.0,,,1.3888,0.0,0.0
2013-10-03,0.0,0.0,0.0,,,1.3907,0.0,0.0
2013-10-04,0.0,0.0,0.0,,,1.3842,0.0,0.0
2013-10-07,0.0,0.0,0.0,,,1.3872,0.0,0.0
