Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2013-09-09,7961.0,7965.0,7897.0,7932.0,173.0,11724.0
2013-09-10,7986.0,8048.0,7967.0,8046.0,3193.0,11852.0
2013-09-11,8045.0,8066.0,8028.0,8050.0,2658.0,13946.0
2013-09-12,8080.0,8080.0,8010.0,8029.0,7045.0,15528.0
2013-09-13,8023.0,8039.0,8000.0,8037.0,5195.0,18215.0
2013-09-16,8109.0,8127.0,8020.0,8033.0,42491.0,20863.0
2013-09-17,8029.0,8030.0,7986.0,8015.0,58285.0,47837.0
2013-09-18,8032.0,8146.0,8015.0,8049.0,61146.0,86888.0
2013-09-19,8112.0,8146.0,8080.0,8102.0,32284.0,104474.0
2013-09-20,8115.0,8134.0,8081.0,8096.0,17687.0,110163.0
2013-09-23,8087.0,8128.0,8045.0,8065.0,17552.0,109534.0
2013-09-24,8065.0,8092.0,8018.0,8055.0,16056.0,108138.0
2013-09-25,8055.0,8080.0,8022.0,8063.0,18348.0,107380.0
2013-09-26,8055.0,8082.0,8015.0,8060.0,16982.0,108991.0
2013-09-27,8057.0,8076.0,8022.0,8050.0,17073.0,110401.0
2013-09-30,8001.0,8033.0,7985.0,8020.0,25902.0,110104.0
2013-10-01,8017.0,8079.0,8008.0,8060.0,20909.0,109362.0
2013-10-02,8045.0,8055.0,7925.0,7954.0,29649.0,109402.0
2013-10-03,7984.0,8006.0,7904.0,7930.0,17475.0,111512.0
2013-10-04,7910.0,7964.0,7881.0,7948.0,18052.0,111038.0
2013-10-08,7875.0,7893.0,7769.0,7822.0,23026.0,108394.0
2013-10-10,7784.0,7905.0,7762.0,7843.0,27686.0,112354.0
2013-10-11,7894.0,7971.0,7863.0,7941.0,24925.0,109638.0
2013-10-14,7936.0,7975.0,7890.0,7923.0,19194.0,108681.0
2013-10-15,7969.0,8022.0,7945.0,7991.0,24957.0,109160.0
2013-10-16,7971.0,7995.0,7899.0,7983.0,26927.0,110172.0
2013-10-17,7980.0,8069.0,7977.0,8016.0,31613.0,107303.0
2013-10-18,8071.0,8112.0,8029.0,8073.0,24545.0,108275.0
2013-10-21,8117.0,8139.0,8073.0,8123.0,21529.0,110879.0
2013-10-22,8134.0,8244.0,8113.0,8209.0,35527.0,111394.0
2013-10-23,8195.0,8229.0,8175.0,8207.0,22444.0,114412.0
2013-10-24,8242.0,8251.0,8192.0,8234.0,18528.0,115670.0
2013-10-25,8228.0,8272.0,8198.0,8233.0,22186.0,114832.0
2013-10-28,8279.0,8296.0,8258.0,8281.0,18328.0,115622.0
2013-10-29,8289.0,8290.0,8221.0,8231.0,21110.0,117852.0
2013-10-30,8270.0,8278.0,8206.0,8223.0,23691.0,117515.0
2013-10-31,8206.0,8261.0,8206.0,8250.0,26022.0,117304.0
2013-11-01,8254.0,8255.0,8172.0,8210.0,26187.0,116568.0
2013-11-04,8254.0,8260.0,8184.0,8191.0,17503.0,115189.0
2013-11-05,8216.0,8228.0,8126.0,8145.0,21686.0,115256.0
2013-11-06,8178.0,8252.0,8172.0,8232.0,24949.0,114653.0
2013-11-07,8218.0,8295.0,8183.0,8221.0,32021.0,115703.0
2013-11-08,8191.0,8278.0,8170.0,8229.0,28287.0,115005.0
2013-11-11,8271.0,8301.0,8258.0,8271.0,23168.0,115800.0
2013-11-12,8285.0,8299.0,8242.0,8263.0,22424.0,117240.0
2013-11-13,8249.0,8277.0,8195.0,8233.0,23864.0,118694.0
2013-11-14,8291.0,8320.0,8268.0,8309.0,25717.0,118229.0
2013-11-15,8324.0,8336.0,8296.0,8329.0,19502.0,118853.0
2013-11-18,8330.0,8367.0,8307.0,8346.0,18705.0,120642.0
2013-11-19,8316.0,8331.0,8276.0,8303.0,18755.0,120264.0
2013-11-20,8284.0,8317.0,8251.0,8283.0,18986.0,121883.0
2013-11-21,8250.0,8305.0,8229.0,8274.0,20305.0,120676.0
2013-11-22,8286.0,8340.0,8247.0,8259.0,21302.0,118123.0
2013-11-25,8276.0,8323.0,8271.0,8307.0,16911.0,119261.0
2013-11-26,0.0,0.0,0.0,8257.0,0.0,122175.0
2013-11-27,0.0,0.0,0.0,8260.0,0.0,120790.0
2013-11-28,8253.0,8267.0,8234.0,8254.0,9357.0,121317.0
2013-11-29,8250.0,8287.0,8246.0,8277.0,17973.0,115100.0
2013-12-02,0.0,0.0,0.0,8263.0,0.0,116006.0
2013-12-03,0.0,0.0,0.0,8099.0,0.0,115026.0
2013-12-04,8105.0,8126.0,7987.0,8036.0,36861.0,117847.0
2013-12-05,8021.0,8079.0,8003.0,8024.0,31308.0,117508.0
2013-12-06,8021.0,8083.0,8006.0,8078.0,26507.0,119123.0
2013-12-09,8090.0,8092.0,8034.0,8068.0,19272.0,118244.0
2013-12-10,8047.0,8047.0,7951.0,7978.0,25716.0,119504.0
2013-12-11,7966.0,8013.0,7921.0,7984.0,36445.0,121444.0
2013-12-12,7920.0,7942.0,7827.0,7846.0,47174.0,125215.0
2013-12-13,7834.0,7870.0,7812.0,7835.0,31359.0,121909.0
2013-12-16,7793.0,7900.0,7740.0,7859.0,82524.0,115536.0
2013-12-17,7842.0,7888.0,7831.0,7848.0,82903.0,95196.0
2013-12-18,7851.0,7974.0,7847.0,7892.0,55197.0,72966.0
2013-12-19,7965.0,8067.0,7938.0,8021.0,47770.0,63831.0
2013-12-20,8060.0,8084.0,8046.0,8091.31,627.0,52338.0
