Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1987-09-17,7200.0,7230.0,7200.0,,,7230.0,1.0,1.0
1987-09-18,7261.0,7261.0,7261.0,,,7261.0,0.0,1.0
1987-09-21,7221.0,7221.0,7221.0,,,7221.0,0.0,1.0
1987-09-22,7175.0,7175.0,7175.0,,,7175.0,0.0,1.0
1987-09-23,7182.0,7182.0,7182.0,,,7182.0,0.0,1.0
1987-09-24,7201.0,7201.0,7201.0,,,7201.0,0.0,1.0
1987-09-25,7200.0,7200.0,7200.0,,,7200.0,0.0,1.0
1987-09-28,7163.0,7163.0,7163.0,,,7163.0,0.0,1.0
1987-09-29,7065.0,7065.0,7065.0,,,7065.0,0.0,1.0
1987-09-30,7075.0,7075.0,7065.0,,,7065.0,1.0,0.0
1987-10-01,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-02,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-05,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-06,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-07,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-08,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-09,7065.0,7065.0,7065.0,,,7065.0,0.0,0.0
1987-10-12,7205.0,7250.0,7205.0,,,7250.0,2.0,2.0
1987-10-13,7214.0,7214.0,7214.0,,,7214.0,0.0,2.0
1987-10-14,7263.0,7273.0,7263.0,,,7273.0,1.0,3.0
1987-10-15,7280.0,7280.0,7280.0,,,7280.0,0.0,3.0
1987-10-16,7292.0,7292.0,7292.0,,,7292.0,0.0,3.0
1987-10-19,7340.0,7340.0,7335.0,,,7335.0,1.0,4.0
1987-10-20,7145.0,7145.0,7145.0,,,7145.0,0.0,4.0
1987-10-21,7120.0,7120.0,7120.0,,,7120.0,0.0,4.0
1987-10-22,7108.0,7108.0,7108.0,,,7108.0,0.0,4.0
1987-10-23,7250.0,7250.0,7250.0,,,7250.0,0.0,4.0
1987-10-26,7225.0,7225.0,7225.0,,,7225.0,0.0,4.0
1987-10-27,7288.0,7288.0,7288.0,,,7288.0,0.0,4.0
1987-10-28,7430.0,7430.0,7430.0,,,7430.0,0.0,4.0
1987-10-29,7436.0,7436.0,7436.0,,,7436.0,0.0,4.0
1987-10-30,7437.0,7437.0,7437.0,,,7437.0,0.0,4.0
1987-11-02,7510.0,7523.0,7510.0,,,7523.0,5.0,2.0
1987-11-03,7540.0,7540.0,7485.0,,,7485.0,3.0,3.0
1987-11-04,7512.0,7514.0,7495.0,,,7514.0,3.0,4.0
1987-11-05,7590.0,7592.0,7590.0,,,7592.0,1.0,5.0
1987-11-06,7582.0,7582.0,7582.0,,,7582.0,0.0,5.0
1987-11-09,7630.0,7638.0,7630.0,,,7638.0,1.0,5.0
1987-11-10,7715.0,7715.0,7585.0,,,7636.0,22.0,23.0
1987-11-11,7626.0,7626.0,7605.0,,,7611.0,6.0,29.0
1987-11-12,7575.0,7575.0,7530.0,,,7545.0,6.0,34.0
1987-11-13,7545.0,7577.0,7545.0,,,7562.0,5.0,39.0
