Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-02-19,0.0,0.0,0.0,22.5,0.0,0.0
2015-02-20,0.0,0.0,0.0,22.55,0.0,0.0
2015-02-23,0.0,0.0,0.0,22.3,0.0,0.0
2015-02-24,22.2,22.2,22.2,22.0,450.0,0.0
2015-02-25,21.8,21.95,21.65,21.65,1704.0,450.0
2015-02-26,21.6,21.65,21.55,21.7,2685.0,2136.0
2015-02-27,21.4,21.4,21.4,21.7,3.0,3711.0
2015-03-02,21.6,21.7,21.4,21.4,83.0,3711.0
2015-03-03,21.45,21.5,21.4,21.55,222.0,3736.0
2015-03-04,21.55,21.6,21.35,21.45,1323.0,3838.0
2015-03-05,21.45,21.45,21.2,21.25,92.0,3419.0
2015-03-06,21.2,21.2,21.2,21.3,1.0,3393.0
2015-03-09,0.0,0.0,0.0,21.4,0.0,3394.0
2015-03-10,21.45,21.9,21.45,21.85,304.0,3394.0
2015-03-11,21.7,21.85,21.6,21.75,1498.0,3463.0
2015-03-12,21.8,21.8,21.8,21.7,1.0,4541.0
2015-03-13,21.8,21.9,21.8,21.85,970.0,4540.0
2015-03-16,21.55,21.7,21.55,21.65,584.0,4957.0
2015-03-17,21.85,21.9,21.8,21.9,935.0,5148.0
2015-03-18,21.9,22.0,21.9,22.05,203.0,5538.0
2015-03-19,21.85,21.9,21.7,21.95,94.0,5634.0
2015-03-20,21.85,21.85,21.7,21.7,317.0,5700.0
2015-03-23,21.8,21.85,21.75,21.85,1461.0,5750.0
2015-03-24,21.75,21.75,21.6,21.7,377.0,5780.0
2015-03-25,21.7,21.95,21.7,21.9,1198.0,5915.0
2015-03-26,22.1,22.4,22.1,21.95,927.0,7093.0
2015-03-27,22.0,22.1,21.85,21.95,112.0,7748.0
2015-03-30,21.8,21.85,21.75,21.8,113.0,7784.0
2015-03-31,22.0,22.1,22.0,22.0,168.0,7869.0
2015-04-01,22.05,22.25,21.9,22.05,1810.0,7936.0
2015-04-02,22.0,22.05,22.0,22.0,201.0,9306.0
2015-04-07,21.65,21.65,21.35,21.35,1902.0,9506.0
2015-04-08,21.4,21.4,21.2,21.25,1182.0,11025.0
2015-04-09,21.4,21.45,21.3,21.45,558.0,11816.0
2015-04-10,21.4,21.45,21.05,21.25,998.0,12246.0
2015-04-13,21.1,21.1,20.95,21.05,120.0,12990.0
2015-04-14,21.2,21.35,21.15,21.3,389.0,12965.0
2015-04-15,21.2,21.3,21.1,21.25,442.0,12970.0
2015-04-16,21.3,21.5,21.3,21.45,2879.0,13034.0
2015-04-17,21.55,22.0,21.55,21.75,7402.0,12286.0
2015-04-20,21.5,21.65,21.45,21.6,2804.0,12945.0
2015-04-21,21.45,21.55,21.45,21.55,182.0,13920.0
2015-04-22,21.55,21.6,21.45,21.45,475.0,13877.0
2015-04-23,21.4,21.5,21.4,21.5,300.0,13928.0
2015-04-24,21.45,21.45,21.3,21.35,131.0,13939.0
2015-04-27,21.35,21.35,21.15,21.2,422.0,13949.0
2015-04-28,21.3,21.45,21.3,21.4,6508.0,14000.0
2015-04-29,21.35,21.75,21.3,21.7,616.0,20250.0
2015-04-30,21.65,21.75,21.55,21.6,159.0,20603.0
2015-05-04,21.55,21.55,21.25,21.25,90.0,20759.0
2015-05-05,21.25,21.65,21.25,21.6,287.0,20793.0
2015-05-06,21.6,21.8,21.4,21.65,173.0,20818.0
2015-05-07,21.75,21.85,21.5,21.5,213.0,20821.0
2015-05-08,21.5,21.5,21.05,21.2,360.0,20955.0
2015-05-11,21.3,21.3,21.1,21.1,197.0,20946.0
2015-05-12,21.4,21.6,21.35,21.4,1792.0,20919.0
2015-05-13,21.25,21.45,21.15,21.45,468.0,21220.0
2015-05-14,21.35,21.45,21.1,21.15,271.0,21200.0
2015-05-15,21.15,21.25,21.0,21.15,459.0,21283.0
2015-05-18,21.2,21.25,20.7,20.85,807.0,21303.0
2015-05-19,20.7,20.8,20.4,20.5,245.0,21221.0
2015-05-20,20.4,20.5,20.4,20.4,2460.0,21276.0
2015-05-21,20.5,20.55,20.4,20.45,157.0,21370.0
2015-05-22,20.35,20.5,20.25,20.55,196.0,21391.0
2015-05-25,0.0,0.0,0.0,20.55,0.0,21394.0
2015-05-26,20.6,21.0,20.6,20.9,6309.0,21394.0
2015-05-27,20.85,20.85,20.6,20.65,3218.0,21828.0
2015-05-28,20.8,20.95,20.8,20.9,454.0,23250.0
2015-05-29,20.8,21.2,20.8,21.25,153.0,23455.0
2015-06-01,21.15,21.55,21.15,21.5,1210.0,23473.0
2015-06-02,21.5,21.5,21.3,21.4,882.0,23312.0
2015-06-03,21.2,21.2,20.95,21.2,439.0,23282.0
2015-06-04,21.25,21.35,21.15,21.35,851.0,23385.0
2015-06-05,21.45,21.55,21.35,21.55,177.0,23400.0
2015-06-08,21.5,21.65,21.5,21.55,11.0,23506.0
2015-06-09,21.5,21.55,21.35,21.35,218.0,23506.0
2015-06-10,21.2,21.25,21.0,21.0,363.0,23542.0
2015-06-11,20.8,20.95,20.7,20.9,349.0,23645.0
2015-06-12,20.7,21.6,20.7,21.25,1286.0,23808.0
2015-06-15,21.4,21.55,21.3,21.35,1494.0,23603.0
2015-06-16,21.6,21.65,21.2,21.35,2477.0,23818.0
2015-06-17,21.35,21.7,21.35,21.5,1083.0,24876.0
2015-06-18,21.65,21.9,20.95,21.5,3491.0,25501.0
2015-06-19,21.35,21.6,21.35,21.55,1435.0,25176.0
2015-06-22,21.15,21.15,20.4,20.45,928.0,25096.0
2015-06-23,20.5,20.55,20.0,20.5,949.0,25388.0
2015-06-24,20.55,21.0,20.55,20.85,1390.0,25739.0
2015-06-25,20.8,20.95,20.5,20.5,1485.0,25932.0
