Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-12-13,0.9285,0.9285,0.9285,,,0.9285,0.0,0.0
2010-12-14,0.9302,0.9302,0.9302,,,0.9302,0.0,0.0
2010-12-15,0.9157,0.9157,0.9157,,,0.9157,0.0,0.0
2010-12-16,0.919,0.919,0.919,,,0.919,0.0,0.0
2010-12-17,0.9206,0.9206,0.9206,,,0.9206,0.0,0.0
2010-12-20,0.9261,0.9261,0.9261,,,0.9261,0.0,0.0
2010-12-21,0.9278,0.9278,0.9278,,,0.9278,0.0,0.0
2010-12-22,0.9311,0.9311,0.9311,,,0.9311,0.0,0.0
2010-12-23,0.9366,0.9366,0.9366,,,0.9366,0.0,0.0
2010-12-27,0.9358,0.9358,0.9358,,,0.9358,0.0,0.0
2010-12-28,0.941,0.941,0.941,,,0.941,0.0,0.0
2010-12-29,0.9484,0.9484,0.9484,,,0.9484,0.0,0.0
2010-12-30,0.9470000000000001,0.9470000000000001,0.9470000000000001,,,0.9470000000000001,0.0,0.0
2010-12-31,0.9539,0.9539,0.9539,,,0.9539,0.0,0.0
2011-01-03,0.95,0.95,0.95,,,0.95,0.0,0.0
2011-01-04,0.9375,0.9375,0.9375,,,0.9375,0.0,0.0
2011-01-05,0.9334,0.9334,0.9334,,,0.9334,0.0,0.0
2011-01-06,0.9286,0.9286,0.9286,,,0.9286,0.0,0.0
2011-01-07,0.93,0.93,0.93,,,0.93,0.0,0.0
2011-01-10,0.9311,0.9311,0.9311,,,0.9311,0.0,0.0
2011-01-11,0.9234,0.9234,0.9234,,,0.9234,0.0,0.0
2011-01-12,0.9325,0.9325,0.9325,,,0.9325,0.0,0.0
2011-01-13,0.9335,0.9335,0.9335,,,0.9335,0.0,0.0
2011-01-14,0.9259,0.9259,0.9259,,,0.9259,0.0,0.0
2011-01-18,0.9346,0.9346,0.9346,,,0.9346,0.0,0.0
2011-01-19,0.9354,0.9354,0.9354,,,0.9354,0.0,0.0
2011-01-20,0.9251,0.9251,0.9251,,,0.9251,0.0,0.0
2011-01-21,0.9267,0.9267,0.9267,,,0.9267,0.0,0.0
2011-01-24,0.9344,0.9344,0.9344,,,0.9344,0.0,0.0
2011-01-25,0.9295,0.9295,0.9295,,,0.9295,0.0,0.0
2011-01-26,0.9328,0.9328,0.9328,,,0.9328,0.0,0.0
2011-01-27,0.9303,0.9303,0.9303,,,0.9303,0.0,0.0
2011-01-28,0.9315,0.9315,0.9315,,,0.9315,0.0,0.0
2011-01-31,0.9352,0.9352,0.9352,,,0.9352,0.0,0.0
2011-02-01,0.9493,0.9493,0.9493,,,0.9493,0.0,0.0
2011-02-02,0.9462,0.9462,0.9462,,,0.9462,0.0,0.0
2011-02-03,0.9519,0.9519,0.9519,,,0.9519,0.0,0.0
2011-02-04,0.9503,0.9503,0.9503,,,0.9503,0.0,0.0
2011-02-07,0.9509,0.9509,0.9509,,,0.9509,0.0,0.0
2011-02-08,0.9523,0.9523,0.9523,,,0.9523,0.0,0.0
2011-02-09,0.9471,0.9471,0.9471,,,0.9471,0.0,0.0
2011-02-10,0.9422,0.9422,0.9422,,,0.9422,0.0,0.0
2011-02-11,0.941,0.941,0.941,,,0.941,0.0,0.0
2011-02-14,0.9420000000000001,0.9420000000000001,0.9420000000000001,,,0.9420000000000001,0.0,0.0
2011-02-15,0.9359999999999999,0.9359999999999999,0.9359999999999999,,,0.9359999999999999,0.0,0.0
2011-02-16,0.9441,0.9441,0.9441,,,0.9441,0.0,0.0
2011-02-17,0.9516,0.9516,0.9516,,,0.9516,0.0,0.0
2011-02-18,0.9535,0.9535,0.9535,,,0.9535,0.0,0.0
2011-02-22,0.9376,0.9376,0.9376,,,0.9376,0.0,0.0
2011-02-23,0.9416,0.9416,0.9416,,,0.9416,0.0,0.0
2011-02-24,0.9497,0.9497,0.9497,,,0.9497,0.0,0.0
2011-02-25,0.9573,0.9573,0.9573,,,0.9573,0.0,0.0
2011-02-28,0.9585,0.9585,0.9585,,,0.9585,0.0,0.0
2011-03-01,0.9534,0.9534,0.9534,,,0.9534,0.0,0.0
2011-03-02,0.9564,0.9564,0.9564,,,0.9564,0.0,0.0
2011-03-03,0.9556,0.9556,0.9556,,,0.9556,0.0,0.0
2011-03-04,0.9535,0.9535,0.9535,,,0.9535,0.0,0.0
2011-03-07,0.9524,0.9524,0.9524,,,0.9524,0.0,0.0
2011-03-08,0.9520000000000001,0.9520000000000001,0.9520000000000001,,,0.9520000000000001,0.0,0.0
2011-03-09,0.9524,0.9524,0.9524,,,0.9524,0.0,0.0
2011-03-10,0.9431,0.9431,0.9431,,,0.9431,0.0,0.0
2011-03-11,0.9563,0.9563,0.9563,,,0.9563,0.0,0.0
2011-03-14,0.9503,0.9503,0.9503,,,0.9503,0.0,0.0
2011-03-15,0.9374,0.9374,0.9374,,,0.9374,0.0,0.0
2011-03-16,0.93,0.93,0.93,,,0.93,0.0,0.0
2011-03-17,0.9275,0.9275,0.9275,,,0.9275,0.0,0.0
2011-03-18,0.9419,0.9419,0.9419,,,0.9419,0.0,0.0
2011-03-21,0.9511,0.9511,0.9511,,,0.9511,0.0,0.0
2011-03-22,0.9571,0.9571,0.9571,,,0.9571,0.0,0.0
2011-03-23,0.9603,0.9603,0.9603,,,0.9603,0.0,0.0
2011-03-24,0.9678,0.9678,0.9678,,,0.9678,0.0,0.0
2011-03-25,0.9709,0.9709,0.9709,,,0.9709,0.0,0.0
