Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2008-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2008-04-22,23.92,23.92,23.92,23.92,23.7,22.7,2.0,0.0,2.0
2008-04-23,24.19,24.22,23.7,24.06,23.67,-0.03,70.0,0.0,72.0
2008-04-24,23.99,24.28,23.5,23.99,23.56,-0.11,49.0,0.0,121.0
2008-04-25,23.68,23.68,23.05,23.05,23.22,-0.34,17.0,0.0,133.0
2008-04-28,23.38,23.38,22.69,22.69,22.64,-0.58,77.0,0.0,195.0
2008-04-29,23.0,23.0,23.0,23.0,22.94,0.3,6.0,0.0,201.0
2008-04-30,0.0,0.0,0.0,0.0,22.67,-0.27,0.0,0.0,201.0
2008-05-01,0.0,0.0,0.0,0.0,22.11,-0.56,0.0,0.0,201.0
2008-05-02,0.0,0.0,0.0,0.0,21.54,-0.57,0.0,0.0,201.0
2008-05-05,21.61,21.61,21.61,21.61,21.74,0.2,1.0,0.0,201.0
2008-05-06,0.0,0.0,0.0,0.0,21.5,-0.24,0.0,0.0,201.0
2008-05-07,0.0,0.0,0.0,0.0,22.06,0.56,0.0,0.0,201.0
2008-05-08,22.25,22.25,22.1,22.1,22.49,0.43,8.0,0.0,201.0
2008-05-09,0.0,0.0,0.0,0.0,22.42,-0.07,0.0,0.0,201.0
2008-05-12,22.02,22.02,21.72,21.72,21.9,-0.52,2.0,0.0,202.0
2008-05-13,22.0,22.0,22.0,22.0,22.18,0.28,4.0,0.0,202.0
2008-05-14,0.0,0.0,0.0,0.0,22.17,-0.01,0.0,0.0,202.0
2008-05-15,22.0,22.0,21.61,21.61,21.51,-0.66,3.0,0.0,203.0
2008-05-16,22.24,22.24,22.0,22.05,21.88,0.37,8.0,0.0,202.0
2008-05-19,22.0,22.1,22.0,22.1,22.2,0.32,3.0,0.0,202.0
2008-05-20,22.56,22.58,22.56,22.58,22.79,0.59,2.0,0.0,203.0
2008-05-21,0.0,0.0,0.0,0.0,23.64,0.85,0.0,0.0,203.0
2008-05-22,0.0,0.0,0.0,0.0,23.19,-0.45,0.0,0.0,203.0
