Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1987-06-17,90.93,91.07,90.92,,,91.07,34.0,18.0
1987-06-18,90.93,91.06,90.92,,,91.03,55.0,65.0
1987-06-19,90.93,91.05,90.93,,,91.0,70.0,106.0
1987-06-22,91.07,91.07,91.07,,,91.07,15.0,121.0
1987-06-23,91.18,91.18,91.03,,,91.07,173.0,220.0
1987-06-24,90.99,90.99,90.99,,,90.99,10.0,207.0
1987-06-25,91.08,91.08,91.0,,,91.01,70.0,247.0
1987-06-26,90.83,90.89,90.83,,,90.88,41.0,262.0
1987-06-29,90.83,90.93,90.77,,,90.93,36.0,287.0
1987-06-30,91.0,91.0,90.88,,,90.88,45.0,287.0
1987-07-01,90.9,90.93,90.9,,,90.93,46.0,322.0
1987-07-02,90.94,90.96,90.9,,,90.9,54.0,329.0
1987-07-06,90.92,91.03,90.92,,,90.96,169.0,375.0
1987-07-07,90.94,91.02,90.94,,,91.02,95.0,431.0
1987-07-08,90.99,91.0,90.97,,,91.0,64.0,451.0
1987-07-09,90.96,90.96,90.93,,,90.95,10.0,457.0
1987-07-10,91.0,91.04,91.0,,,91.04,10.0,457.0
1987-07-13,91.01,91.02,91.01,,,91.01,210.0,572.0
1987-07-14,90.99,91.01,90.97,,,91.0,146.0,653.0
1987-07-15,90.99,90.99,90.86,,,90.86,119.0,658.0
1987-07-16,90.88,90.9,90.87,,,90.88,147.0,759.0
1987-07-17,90.96,90.97,90.89,,,90.93,57.0,739.0
1987-07-20,90.91,90.91,90.89,,,90.89,173.0,777.0
1987-07-21,90.81,90.93,90.81,,,90.84,81.0,795.0
1987-07-22,90.85,90.85,90.7,,,90.7,127.0,856.0
1987-07-23,90.7,90.7,90.63,,,90.63,109.0,882.0
1987-07-24,90.61,90.65,90.61,,,90.61,171.0,975.0
1987-07-27,90.63,90.65,90.61,,,90.61,89.0,1061.0
1987-07-28,90.7,90.7,90.59,,,90.59,56.0,1060.0
1987-07-29,90.6,90.63,90.59,,,90.59,366.0,1277.0
1987-07-30,90.65,90.67,90.62,,,90.67,212.0,1342.0
1987-07-31,90.63,90.63,90.61,,,90.62,19.0,1358.0
1987-08-03,90.47,90.52,90.45,,,90.49,73.0,1397.0
1987-08-04,90.48,90.55,90.48,,,90.54,175.0,1432.0
1987-08-05,90.62,90.71,90.62,,,90.71,154.0,1531.0
1987-08-06,90.66,90.68,90.63,,,90.63,165.0,1651.0
1987-08-07,90.6,90.6,90.58,,,90.6,51.0,1643.0
1987-08-10,90.58,90.58,90.57,,,90.57,55.0,1667.0
1987-08-11,90.6,90.64,90.58,,,90.59,216.0,1726.0
1987-08-12,90.63,90.63,90.58,,,90.62,98.0,1789.0
1987-08-13,90.6,90.68,90.6,,,90.68,136.0,1801.0
1987-08-14,90.68,90.68,90.6,,,90.63,138.0,1861.0
1987-08-17,90.61,90.63,90.59,,,90.59,56.0,1897.0
1987-08-18,90.53,90.54,90.49,,,90.49,228.0,1924.0
1987-08-19,90.49,90.54,90.48,,,90.49,265.0,2087.0
1987-08-20,90.53,90.55,90.49,,,90.54,72.0,2110.0
1987-08-21,90.54,90.55,90.51,,,90.52,30.0,2092.0
1987-08-24,90.58,90.58,90.5,,,90.5,79.0,2141.0
1987-08-25,90.57,90.57,90.52,,,90.52,52.0,2182.0
1987-08-26,90.53,90.54,90.47,,,90.48,17.0,2186.0
1987-08-27,90.44,90.45,90.37,,,90.37,188.0,2259.0
1987-08-28,90.34,90.35,90.32,,,90.32,86.0,2321.0
1987-08-31,90.36,90.36,90.36,,,90.36,12.0,2333.0
1987-09-01,90.38,90.42,90.36,,,90.36,92.0,2363.0
1987-09-02,90.3,90.34,90.11,,,90.11,352.0,2521.0
1987-09-03,90.19,90.25,90.1,,,90.18,458.0,2690.0
1987-09-04,90.32,90.32,90.14,,,90.14,388.0,2982.0
1987-09-08,90.1,90.13,89.87,,,89.87,412.0,3150.0
1987-09-09,89.92,89.98,89.84,,,89.89,306.0,3257.0
1987-09-10,90.04,90.09,89.87,,,89.87,128.0,3287.0
1987-09-11,89.85,89.99,89.82,,,89.96,442.0,3290.0
1987-09-14,90.04,90.14,90.03,,,90.04,649.0,3636.0
